idx,template_id,expression,status,alpha_id,location,error,result
1,3,"ts_mean(returns-group_median(returns,sector),126)/ts_std_dev(returns-group_median(returns,sector),126)",done,,https://api.worldquantbrain.com/simulations/5rUlBcJc4gPamdGMskFnx3,,"{""id"": ""5rUlBcJc4gPamdGMskFnx3"", ""type"": ""REGULAR"", ""status"": ""ERROR"", ""message"": ""Attempted to use inaccessible or unknown operator \""group_median\"". <linkToCommonErrorMessages>Learn more</linkToCommonErrorMessages>"", ""location"": {""line"": 1, ""start"": 16, ""end"": 44, ""property"": ""regular""}, ""links"": {""linkToCommonErrorMessages"": ""https://support.worldquantbrain.com/hc/en-us/articles/18423410021783--BRAIN-TIPS-Troubleshooting-common-error-messages""}}"
2,4,"ts_mean(abs(returns - group_mean(returns,1,market))/(abs(returns)+abs(group_mean(returns,1,market))+0.1),20)",done,O05rJPYJ,https://api.worldquantbrain.com/simulations/eAWRD98L4De9g9pgM8z3D7,,"{""id"": ""eAWRD98L4De9g9pgM8z3D7"", ""type"": ""REGULAR"", ""settings"": {""instrumentType"": ""EQUITY"", ""region"": ""USA"", ""universe"": ""TOP3000"", ""delay"": 1, ""decay"": 10, ""neutralization"": ""INDUSTRY"", ""truncation"": 0.08, ""pasteurization"": ""ON"", ""unitHandling"": ""VERIFY"", ""nanHandling"": ""ON"", ""maxTrade"": ""OFF"", ""maxPosition"": ""OFF"", ""language"": ""FASTEXPR"", ""visualization"": false}, ""regular"": ""ts_mean(abs(returns - group_mean(returns,1,market))/(abs(returns)+abs(group_mean(returns,1,market))+0.1),20)"", ""status"": ""WARNING"", ""message"": ""Incompatible unit for input of \""add\"" at index 1, expected \""Unit[CSPrice:1]\"", found \""Unit[]\"". <linkToCommonErrorMessages>Learn more</linkToCommonErrorMessages>"", ""location"": {""line"": 1, ""start"": 0, ""end"": 108, ""type"": ""UNITS"", ""property"": ""regular""}, ""links"": {""linkToCommonErrorMessages"": ""https://support.worldquantbrain.com/hc/en-us/articles/18423410021783--BRAIN-TIPS-Troubleshooting-common-error-messages""}, ""alpha"": ""O05rJPYJ""}"
3,5,"-group_neutralize(ts_mean(abs(returns - group_mean(returns,1,market))/(abs(returns)+abs(group_mean(returns,1,market))+0.1),20)*group_normalize(ts_decay_exp_window(ts_delta(vec_count(rsk82_raw_m3g_tni_p_su_fte),60)-ts_delta(vec_count(historical_volatility_10),60),20, factor=0.8),market)*inverse(abs(ts_entropy(volume,20))),bucket(rank(cap),range='0.1,1,0.1'))",done,,https://api.worldquantbrain.com/simulations/2XJ6Xz5Ya4NObZf15oYzvwpl,,"{""id"": ""2XJ6Xz5Ya4NObZf15oYzvwpl"", ""type"": ""REGULAR"", ""status"": ""ERROR"", ""message"": ""Attempted to use inaccessible or unknown operator \""group_normalize\"". <linkToCommonErrorMessages>Learn more</linkToCommonErrorMessages>"", ""location"": {""line"": 1, ""start"": 127, ""end"": 286, ""property"": ""regular""}, ""links"": {""linkToCommonErrorMessages"": ""https://support.worldquantbrain.com/hc/en-us/articles/18423410021783--BRAIN-TIPS-Troubleshooting-common-error-messages""}}"
4,6,"-ts_delta(vec_count(historical_volatility_10),60)",done,,https://api.worldquantbrain.com/simulations/vBKysb3y4sybrp1fXk3Hwfn,,"{""id"": ""vBKysb3y4sybrp1fXk3Hwfn"", ""type"": ""REGULAR"", ""status"": ""ERROR"", ""message"": ""Attempted to use inaccessible or unknown operator \""vec_count\"". <linkToCommonErrorMessages>Learn more</linkToCommonErrorMessages>"", ""location"": {""line"": 1, ""start"": 10, ""end"": 45, ""property"": ""regular""}, ""links"": {""linkToCommonErrorMessages"": ""https://support.worldquantbrain.com/hc/en-us/articles/18423410021783--BRAIN-TIPS-Troubleshooting-common-error-messages""}}"
