version,description,expression,status,location,error,result_summary
v3.1,v3.1 参数延长版 - 更长周期提高稳定性,"-rank(ts_zscore(close - ts_mean(close, 126), 252))",timeout,https://api.worldquantbrain.com/simulations/1QruSj96G4Pebdg19fHbpIkl,Timeout waiting for result,{}
v3.2,v3.2 保守版 - 波动率过滤,"momentum = ts_zscore(close - ts_mean(close, 63), 126); volatility = ts_std_dev(returns, 20); normalized_vol = ts_rank(volatility, 252); trade_when(normalized_vol > 0.3, -rank(momentum), 0)",timeout,https://api.worldquantbrain.com/simulations/1YMA44g0a4RJ92MRfuAHIgr,Timeout waiting for result,{}
v3.3,v3.3 均衡版 - 中间参数组合,"-rank(ts_zscore(close - ts_mean(close, 84), 168))",timeout,https://api.worldquantbrain.com/simulations/1vuZ7Ymd4lXbcDkHOJ1Swf,Timeout waiting for result,{}
v3.4,v3.4 成交量条件版 - 流动性驱动,"signal = ts_zscore(close - ts_mean(close, 63), 126); vol_filter = volume > ts_mean(volume, 20); trade_when(vol_filter, -rank(signal), 0)",timeout,https://api.worldquantbrain.com/simulations/21Nc0gbjx4B5cxwojP33BMu,Timeout waiting for result,{}
v3.5,v3.5 高频版 - 更敏感响应,"-rank(ts_zscore(close - ts_mean(close, 42), 84))",timeout,https://api.worldquantbrain.com/simulations/s3Q2Y8Lu4Dfag8171tWMZ8L,Timeout waiting for result,{}
